Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,0um_Ce,0um_Ce,0um_Ce,0um_Ce,0um_Ce,0um_Ce,0um_Ce,0um_Ce,0um_Ce,250um_Ce,250um_Ce,250um_Ce,250um_Ce,250um_Ce,250um_Ce,250um_Ce,250um_Ce,250um_Ce,Media,Media,Media,Media,Media,Media,Media,Media,Media
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,MB1112,MB1112,MB1112,MB1113,MB1113,MB1113,MB1114,MB1114,MB1114,MB1115,MB1115,MB1115,MB1116,MB1116,MB1116,MB1117,MB1117,MB1117,MB1109,MB1109,MB1109,MB1110,MB1110,MB1110,MB1111,MB1111,MB1111
Compound,m/z,Retention time (min),200826_PTY087I2_0umce1_r1,200826_PTY087I2_0umce1_r2,200826_PTY087I2_0umce1_r3,200826_PTY087I2_0umce2_r1,200826_PTY087I2_0umce2_r2,200826_PTY087I2_0umce2_r3,200826_PTY087I2_0umce3_r1,200826_PTY087I2_0umce3_r2,200826_PTY087I2_0umce3_r3,200826_PTY087I2_250umce1_r1,200826_PTY087I2_250umce1_r2,200826_PTY087I2_250umce1_r3,200826_PTY087I2_250umce2_r1,200826_PTY087I2_250umce2_r2,200826_PTY087I2_250umce2_r3,200826_PTY087I2_250umce3_r1,200826_PTY087I2_250umce3_r2,200826_PTY087I2_250umce3_r3,200826_media1_r1,200826_media1_r2,200826_media1_r3,200826_media2_r1,200826_media2_r2,200826_media2_r3,200826_media3_r1,200826_media3_r2,200826_media3_r3
0.80_627.2171n,650.2063013,0.802766667,43326.38649,43882.68009,45578.23804,43359.71046,44807.89402,44925.54654,44175.7859,44779.28226,45432.68848,46936.50804,46717.44194,44639.13434,43812.6078,44053.75013,42694.93794,43896.2723,40825.92921,44286.66295,33815.754010000004,33977.54229,33169.47338,34372.988710000005,34003.54798,33961.4707,35182.839980000004,33176.13484,34222.950110000005
0.80_875.2514m/z,875.2514369999999,0.802766667,877.8070795,876.6036155999999,950.70338,928.034673,861.2858148,926.0147424,915.720985,937.7203358,912.064587,1032.989228,977.4074411,949.9569866,1034.7640199999996,1006.981248,982.9597499,1000.601289,886.6157703,975.7406628,855.8466778999997,791.7879696,824.544226,828.6913983,867.4680563,840.3721467,903.6137017,808.641881,825.5735489
0.80_854.3230m/z,854.3230101,0.802766667,89.68663673,74.20045959999999,90.96518428,238.457328,234.3888471,239.4500506,205.9886802,213.3743246,226.5901945,525.5634866,509.8345949,496.6545543,804.4571676,818.5485271000001,776.7070609,495.2288489,408.56273260000006,461.1298091,59.65965186,68.83267679,63.21629054,60.16810222,77.22955798,67.8620149,64.74246559,61.62683315,57.34577563
0.80_457.1067m/z,457.1066851,0.802766667,1395.551856,1412.789298,1512.889225,1447.645463,1480.09179,1522.462601,1411.850323,1432.826035,1457.182132,1603.070161,1566.576264,1495.984945,1522.725661,1610.553351,1494.025128,1514.724867,1368.234214,1511.3526359999994,1619.687726,1589.882592,1523.218903,1695.2680850000006,1653.329225,1605.306745,1747.07318,1600.189944,1668.56248
0.80_273.0894m/z,273.08940939999997,0.802766667,33.51153931,29.8556911,38.80503155,34.13587647,30.01894052,28.3934729,28.62445499,32.6875601,32.52949563,32.86866713,35.94350224,30.25166321,32.07200623,29.57345593,29.02578063,33.583419799999994,35.68991061,32.16250478,42.22377014,38.18495681,37.96429199,39.84657202,30.60368691,31.87643607,35.17544945,29.82683286,34.96813276
0.81_419.2518m/z,419.25182889999996,0.809916667,2998.9526202,3754.5340102000014,3140.0069026,2848.2208471,3328.5192967,3300.0553749,3577.5097561,3439.5384505999996,2827.716839,2612.3631581000004,2524.693999,3266.5063947000012,2747.2818841,3152.7286213,2308.6820765,2726.4105588,3267.1403336999997,2781.008814000001,2743.8035027,2647.0169422,2733.762780400001,2415.539518900001,2532.9021674,2383.8446934,2913.9141602,2777.8382647,2427.6860598000007
0.81_1487.4957m/z,1487.495716,0.809916667,56.23954599,60.48968458,78.6899026,54.78122189,61.70491492,55.98720649999999,70.60940045,79.82444615,69.5125435,84.55757892,79.25353956,67.04684005,87.46575928,82.95649881,66.77028582,75.1698309,60.2888586,88.24691627,0.0,6.999389647999999,6.969116211,5.582506228,0.0,6.72676951,0.0,7.297546387000001,5.486206055
0.81_1370.9683m/z,1370.968307,0.809916667,121.4940078,116.5437666,147.8026519,88.33676745,72.50748161,82.67862089,138.4739584,120.9301993,133.0144199,138.51796059999998,147.1005398,117.245403,124.9751874,116.5347755,122.4009882,130.2051752,134.9311163,116.1403313,4.421447754,19.70390036,23.02618408,6.801269531,0.0,0.0,19.55550134,0.0,19.57897631
0.81_1254.9360n,1277.923657,0.809916667,56.8703032,64.11022709,66.36532666,33.73828101,42.41509059,45.91797327,61.94473148,56.72011971,59.78420376,62.85181139,55.98402157,41.16474163,71.35039837,63.15670116,61.09654325,58.55238789,55.16853933,61.51116839,10.20544446,4.465087771,10.98101783,14.50494385,5.969474236,6.284423828,10.24298096,9.556933975,9.42755127
0.81_1046.3687m/z,1046.368694,0.809916667,89.62389666,97.47825226,79.83147544,74.95735289,77.53199891,77.94183383,103.6648109,101.4516602,79.59593614,77.32664723,92.2815617,83.11062363,86.04524344,85.20648851,85.74704668,86.33821756,75.61679129,91.43314184,41.50032176,33.73915422,40.68493811,31.10437094,29.44433594,40.33477243,32.27593472,32.88451864,40.6232774
0.81_128.1075m/z,128.1074747,0.809916667,30.3354184,22.8399561,20.91629521,19.56493378,22.14391797,31.36249054,17.92287724,22.7409516,20.39606476,22.45775514,28.21121548,27.05935728,28.78639085,31.19202629,27.50923291,24.63531605,28.68268129,29.868993100000004,28.75678641,24.02573486,21.11661518,27.49429463,22.68419816,29.6815429,24.33233188,19.36086226,32.22513204
0.81_984.3495m/z,984.3495140000001,0.809916667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.376586914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.34871449,43.98701381,54.20964515,47.45319695,39.37814355,48.52337478,45.93391712,36.41329956,43.63788682
0.81_210.0803m/z,210.0803421,0.809916667,171473.22031059998,173061.94446159998,173573.06656229994,168110.49902979998,170561.9658525,169746.23866320006,169505.6335188,169105.38225690002,168287.25962569998,165491.63952400006,167960.43735219998,166362.26485900002,162456.16464139998,162719.11253359998,163576.01836339998,164423.25211889998,162120.21115150006,163524.44052739994,177081.016492,178893.391573,176840.16396039995,175028.8937158,173561.58841110006,175611.46016109994,175737.770151,173185.78028720006,176779.87479059995
0.81_166.0540m/z,166.0539664,0.809916667,104.0179072,70.08068592,105.882593,104.5523521,60.8932147,70.6743927,69.32794613,74.11856989,101.5088041,90.19029217,93.9370533,70.7230835,102.6701781,78.65770721,113.58436299999998,100.4342499,75.62741864,98.50740803,124.24605359999998,110.9819818,116.3391627,111.036644,90.45531859,72.47990298,83.1612144,83.80812431,107.9152802
4.11_664.1259m/z,664.1259491000002,4.110983333,626.8196615,668.173029,669.8370352999998,420.6122877,408.7486305,437.51640310000016,459.7291221,455.6136668,480.5155259,1289.365876,1277.17717,1216.465062,1171.722953,1146.48145,1186.290622,1246.833017,1231.975772,1265.778853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
